time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2023-01-01,16.2,25.8,3.1,Antananarivo,open-meteo
2023-01-02,16.5,26.8,16.9,Antananarivo,open-meteo
2023-01-03,14.6,25.7,0.3,Antananarivo,open-meteo
2023-01-04,16.6,25.0,9.0,Antananarivo,open-meteo
2023-01-05,16.3,26.3,0.4,Antananarivo,open-meteo
2023-01-06,15.9,25.9,0.1,Antananarivo,open-meteo
2023-01-07,16.0,26.4,0.2,Antananarivo,open-meteo
2023-01-08,17.7,26.5,5.5,Antananarivo,open-meteo
2023-01-09,16.5,27.2,31.5,Antananarivo,open-meteo
2023-01-10,16.0,23.8,3.0,Antananarivo,open-meteo
2023-01-11,17.0,25.8,23.0,Antananarivo,open-meteo
2023-01-12,17.5,23.0,29.0,Antananarivo,open-meteo
2023-01-13,17.4,23.7,17.6,Antananarivo,open-meteo
2023-01-14,17.0,24.6,4.2,Antananarivo,open-meteo
2023-01-15,15.6,23.3,8.0,Antananarivo,open-meteo
2023-01-16,15.1,25.0,1.8,Antananarivo,open-meteo
2023-01-17,15.7,24.4,2.5,Antananarivo,open-meteo
2023-01-18,15.8,23.8,0.1,Antananarivo,open-meteo
2023-01-19,16.5,21.8,9.8,Antananarivo,open-meteo
2023-01-20,17.8,20.7,51.6,Antananarivo,open-meteo
2023-01-21,17.2,20.9,63.2,Antananarivo,open-meteo
2023-01-22,16.6,18.6,76.4,Antananarivo,open-meteo
2023-01-23,17.0,22.9,43.9,Antananarivo,open-meteo
2023-01-24,17.4,24.4,23.7,Antananarivo,open-meteo
2023-01-25,17.0,23.1,5.2,Antananarivo,open-meteo
2023-01-26,17.2,20.3,21.4,Antananarivo,open-meteo
2023-01-27,17.2,25.4,14.6,Antananarivo,open-meteo
2023-01-28,17.0,25.9,3.9,Antananarivo,open-meteo
2023-01-29,16.6,25.8,0.0,Antananarivo,open-meteo
2023-01-30,15.8,27.3,7.6,Antananarivo,open-meteo
2023-01-31,18.1,26.3,17.5,Antananarivo,open-meteo
2023-02-01,17.2,24.1,19.3,Antananarivo,open-meteo
2023-02-02,15.8,26.2,8.8,Antananarivo,open-meteo
2023-02-03,14.8,26.1,13.3,Antananarivo,open-meteo
2023-02-04,16.7,25.2,15.1,Antananarivo,open-meteo
2023-02-05,16.1,24.0,5.7,Antananarivo,open-meteo
2023-02-06,15.7,24.9,10.1,Antananarivo,open-meteo
2023-02-07,17.0,23.4,4.4,Antananarivo,open-meteo
2023-02-08,17.5,24.7,2.2,Antananarivo,open-meteo
2023-02-09,16.7,25.1,1.9,Antananarivo,open-meteo
2023-02-10,15.0,23.7,0.1,Antananarivo,open-meteo
2023-02-11,16.0,25.8,0.3,Antananarivo,open-meteo
2023-02-12,14.7,26.0,0.0,Antananarivo,open-meteo
2023-02-13,14.9,26.1,0.0,Antananarivo,open-meteo
2023-02-14,15.0,24.4,3.0,Antananarivo,open-meteo
2023-02-15,13.8,26.5,0.0,Antananarivo,open-meteo
2023-02-16,17.1,24.5,24.2,Antananarivo,open-meteo
2023-02-17,16.6,26.7,21.4,Antananarivo,open-meteo
2023-02-18,16.5,27.2,7.8,Antananarivo,open-meteo
2023-02-19,18.2,27.7,0.4,Antananarivo,open-meteo
2023-02-20,16.8,26.9,0.0,Antananarivo,open-meteo
2023-02-21,15.5,26.1,7.6,Antananarivo,open-meteo
2023-02-22,17.2,26.6,4.1,Antananarivo,open-meteo
2023-02-23,17.1,24.5,20.5,Antananarivo,open-meteo
2023-02-24,14.9,26.0,0.5,Antananarivo,open-meteo
2023-02-25,14.2,25.9,0.1,Antananarivo,open-meteo
2023-02-26,15.3,26.2,0.0,Antananarivo,open-meteo
2023-02-27,13.9,25.9,0.4,Antananarivo,open-meteo
2023-02-28,15.3,25.4,2.1,Antananarivo,open-meteo
2023-03-01,14.7,25.9,12.8,Antananarivo,open-meteo
2023-03-02,16.1,25.9,7.5,Antananarivo,open-meteo
2023-03-03,17.0,25.7,12.2,Antananarivo,open-meteo
2023-03-04,16.7,24.5,10.2,Antananarivo,open-meteo
2023-03-05,17.4,23.1,8.2,Antananarivo,open-meteo
2023-03-06,17.6,24.6,3.2,Antananarivo,open-meteo
2023-03-07,17.1,26.0,2.3,Antananarivo,open-meteo
2023-03-08,16.0,25.8,8.9,Antananarivo,open-meteo
2023-03-09,15.4,25.2,20.8,Antananarivo,open-meteo
2023-03-10,17.1,23.3,10.2,Antananarivo,open-meteo
2023-03-11,16.6,23.9,0.8,Antananarivo,open-meteo
2023-03-12,15.6,23.6,9.1,Antananarivo,open-meteo
2023-03-13,14.6,24.1,6.5,Antananarivo,open-meteo
2023-03-14,15.6,25.2,0.1,Antananarivo,open-meteo
2023-03-15,16.0,24.0,11.1,Antananarivo,open-meteo
2023-03-16,15.1,25.8,10.1,Antananarivo,open-meteo
2023-03-17,14.9,25.7,1.2,Antananarivo,open-meteo
2023-03-18,16.5,27.1,6.7,Antananarivo,open-meteo
2023-03-19,17.5,25.2,8.6,Antananarivo,open-meteo
2023-03-20,17.9,25.6,15.5,Antananarivo,open-meteo
2023-03-21,16.7,24.4,16.2,Antananarivo,open-meteo
2023-03-22,16.2,23.9,11.8,Antananarivo,open-meteo
2023-03-23,15.8,25.2,1.1,Antananarivo,open-meteo
2023-03-24,16.2,24.9,3.2,Antananarivo,open-meteo
2023-03-25,15.8,24.6,1.6,Antananarivo,open-meteo
2023-03-26,14.7,24.9,2.5,Antananarivo,open-meteo
2023-03-27,14.7,26.2,2.1,Antananarivo,open-meteo
2023-03-28,16.5,26.0,15.2,Antananarivo,open-meteo
2023-03-29,16.9,24.7,9.3,Antananarivo,open-meteo
2023-03-30,16.4,24.8,22.5,Antananarivo,open-meteo
2023-03-31,16.0,25.6,8.6,Antananarivo,open-meteo
