time,temperature_2m_min,temperature_2m_max,precipitation_sum,humidity,pressure,wind_speed,ville,source,latitude,longitude
2020-01-01,0.7,5.0,0.2,63.833333333333336,1006.2166666666668,19.066666666666663,New York,open-meteo,40.71,-74.0
2020-01-02,-2.1,9.1,0.0,68.5,1013.6,12.333333333333334,New York,open-meteo,40.71,-74.0
2020-01-03,2.4,9.5,2.8,84.70833333333333,1010.2458333333334,8.9,New York,open-meteo,40.71,-74.0
2020-01-04,6.1,10.2,6.0,97.875,1005.6583333333332,6.645833333333333,New York,open-meteo,40.71,-74.0
2020-01-05,1.7,8.8,2.3,65.29166666666667,1007.0375,26.666666666666668,New York,open-meteo,40.71,-74.0
2020-01-06,-1.3,7.8,1.3,66.95833333333333,1014.7041666666668,14.079166666666666,New York,open-meteo,40.71,-74.0
2020-01-07,-0.5,6.2,0.1,60.125,1016.925,12.075,New York,open-meteo,40.71,-74.0
2020-01-08,-1.3,5.2,0.8,72.25,1013.4416666666666,18.229166666666668,New York,open-meteo,40.71,-74.0
2020-01-09,-4.8,0.7,0.0,46.625,1035.475,14.333333333333334,New York,open-meteo,40.71,-74.0
2020-01-10,-1.0,11.3,0.0,75.41666666666667,1036.025,15.35,New York,open-meteo,40.71,-74.0
2020-01-11,8.0,18.5,0.0,78.95833333333333,1025.8458333333333,21.316666666666663,New York,open-meteo,40.71,-74.0
2020-01-12,10.3,18.9,2.9,71.75,1015.7666666666668,29.679166666666664,New York,open-meteo,40.71,-74.0
2020-01-13,1.3,9.9,0.2,77.66666666666667,1028.9208333333331,10.0,New York,open-meteo,40.71,-74.0
2020-01-14,1.1,6.9,0.1,92.08333333333331,1026.7458333333334,8.075000000000001,New York,open-meteo,40.71,-74.0
2020-01-15,3.4,9.5,0.3,82.04166666666667,1020.9875,9.245833333333334,New York,open-meteo,40.71,-74.0
2020-01-16,3.1,8.8,1.8,74.83333333333333,1014.4041666666668,20.6375,New York,open-meteo,40.71,-74.0
2020-01-17,-5.2,2.7,0.0,44.333333333333336,1030.8541666666667,27.120833333333334,New York,open-meteo,40.71,-74.0
2020-01-18,-6.1,1.0,3.5,48.458333333333336,1033.6583333333333,10.5875,New York,open-meteo,40.71,-74.0
