time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2023-01-01,11.9,15.4,2.2,Paris,open-meteo
2023-01-02,6.4,13.7,7.2,Paris,open-meteo
2023-01-03,5.7,9.8,2.3,Paris,open-meteo
2023-01-04,9.8,13.1,2.1,Paris,open-meteo
2023-01-05,11.2,13.7,0.4,Paris,open-meteo
2023-01-06,9.5,12.9,0.0,Paris,open-meteo
2023-01-07,6.2,11.1,1.4,Paris,open-meteo
2023-01-08,6.7,10.5,4.2,Paris,open-meteo
2023-01-09,5.3,8.2,0.8,Paris,open-meteo
2023-01-10,4.0,12.1,3.1,Paris,open-meteo
2023-01-11,8.9,12.4,9.0,Paris,open-meteo
2023-01-12,9.6,12.0,0.6,Paris,open-meteo
2023-01-13,7.1,11.0,2.1,Paris,open-meteo
2023-01-14,8.4,12.6,10.1,Paris,open-meteo
2023-01-15,5.0,8.8,1.7,Paris,open-meteo
2023-01-16,1.3,6.5,9.2,Paris,open-meteo
2023-01-17,-0.5,3.2,3.7,Paris,open-meteo
2023-01-18,-1.8,5.0,0.1,Paris,open-meteo
2023-01-19,-1.1,3.4,4.1,Paris,open-meteo
2023-01-20,-1.6,6.0,0.2,Paris,open-meteo
2023-01-21,-1.5,3.7,0.1,Paris,open-meteo
2023-01-22,-0.9,3.2,0.0,Paris,open-meteo
2023-01-23,-0.4,3.6,0.0,Paris,open-meteo
2023-01-24,-1.2,3.5,0.0,Paris,open-meteo
2023-01-25,0.7,2.5,0.0,Paris,open-meteo
2023-01-26,0.2,4.6,0.6,Paris,open-meteo
2023-01-27,3.5,4.6,0.3,Paris,open-meteo
2023-01-28,-3.4,3.6,0.0,Paris,open-meteo
2023-01-29,-1.4,4.8,0.0,Paris,open-meteo
2023-01-30,1.4,8.9,0.0,Paris,open-meteo
2023-01-31,0.5,8.1,0.0,Paris,open-meteo
2023-02-01,5.7,9.7,0.0,Paris,open-meteo
2023-02-02,4.6,10.5,0.0,Paris,open-meteo
2023-02-03,6.7,10.1,0.0,Paris,open-meteo
2023-02-04,6.6,10.8,0.5,Paris,open-meteo
2023-02-05,2.7,9.3,0.1,Paris,open-meteo
2023-02-06,0.4,6.9,0.0,Paris,open-meteo
2023-02-07,-1.9,6.2,0.0,Paris,open-meteo
2023-02-08,-3.7,5.9,0.0,Paris,open-meteo
2023-02-09,-5.1,6.8,0.0,Paris,open-meteo
2023-02-10,2.2,9.5,0.0,Paris,open-meteo
2023-02-11,-0.6,8.7,0.0,Paris,open-meteo
2023-02-12,2.9,9.2,0.0,Paris,open-meteo
2023-02-13,-0.9,11.8,0.0,Paris,open-meteo
2023-02-14,-0.2,11.9,0.0,Paris,open-meteo
2023-02-15,-0.8,12.8,0.0,Paris,open-meteo
2023-02-16,3.8,11.5,1.3,Paris,open-meteo
2023-02-17,10.6,14.7,0.3,Paris,open-meteo
2023-02-18,9.2,12.4,0.1,Paris,open-meteo
2023-02-19,3.6,11.9,0.0,Paris,open-meteo
2023-02-20,2.5,12.0,0.0,Paris,open-meteo
2023-02-21,0.7,13.9,0.0,Paris,open-meteo
2023-02-22,7.2,10.5,5.6,Paris,open-meteo
2023-02-23,5.4,10.0,0.0,Paris,open-meteo
2023-02-24,4.6,10.4,0.0,Paris,open-meteo
2023-02-25,1.5,7.8,0.0,Paris,open-meteo
2023-02-26,-1.0,5.1,0.0,Paris,open-meteo
2023-02-27,-1.5,6.4,0.0,Paris,open-meteo
2023-02-28,-2.4,5.1,0.0,Paris,open-meteo
2023-03-01,-2.4,7.2,0.0,Paris,open-meteo
2023-03-02,-2.2,9.3,0.0,Paris,open-meteo
2023-03-03,-0.3,9.1,0.0,Paris,open-meteo
2023-03-04,-1.2,6.7,0.0,Paris,open-meteo
2023-03-05,2.9,7.2,0.4,Paris,open-meteo
2023-03-06,1.8,7.6,0.5,Paris,open-meteo
2023-03-07,3.2,8.8,1.6,Paris,open-meteo
2023-03-08,5.4,14.0,19.6,Paris,open-meteo
2023-03-09,8.8,14.6,3.5,Paris,open-meteo
2023-03-10,4.3,10.8,1.7,Paris,open-meteo
2023-03-11,1.2,7.2,3.7,Paris,open-meteo
2023-03-12,7.8,14.1,5.2,Paris,open-meteo
2023-03-13,10.3,15.7,1.0,Paris,open-meteo
2023-03-14,2.7,10.3,5.3,Paris,open-meteo
2023-03-15,2.2,10.8,0.4,Paris,open-meteo
2023-03-16,4.9,15.8,0.0,Paris,open-meteo
2023-03-17,8.0,15.8,7.7,Paris,open-meteo
2023-03-18,8.7,15.1,5.1,Paris,open-meteo
2023-03-19,2.9,11.1,2.0,Paris,open-meteo
2023-03-20,1.9,13.2,0.0,Paris,open-meteo
2023-03-21,8.2,14.7,1.2,Paris,open-meteo
2023-03-22,8.1,13.9,8.9,Paris,open-meteo
2023-03-23,11.1,15.8,0.8,Paris,open-meteo
2023-03-24,9.1,14.9,1.5,Paris,open-meteo
2023-03-25,8.4,13.6,0.5,Paris,open-meteo
2023-03-26,5.7,11.4,6.7,Paris,open-meteo
2023-03-27,3.6,9.6,0.1,Paris,open-meteo
2023-03-28,3.1,11.1,0.6,Paris,open-meteo
2023-03-29,9.0,19.5,1.3,Paris,open-meteo
2023-03-30,11.5,15.8,3.4,Paris,open-meteo
2023-03-31,9.9,14.5,2.7,Paris,open-meteo
2023-04-01,8.5,13.3,2.5,Paris,open-meteo
2023-04-02,6.7,9.4,0.6,Paris,open-meteo
2023-04-03,3.6,11.7,0.0,Paris,open-meteo
2023-04-04,0.7,10.7,0.0,Paris,open-meteo
2023-04-05,-0.5,13.8,0.0,Paris,open-meteo
2023-04-06,6.6,14.3,1.4,Paris,open-meteo
2023-04-07,5.3,14.0,0.4,Paris,open-meteo
2023-04-08,2.7,14.2,0.0,Paris,open-meteo
2023-04-09,2.7,17.2,0.0,Paris,open-meteo
2023-04-10,7.8,16.8,5.7,Paris,open-meteo
2023-04-11,7.7,13.1,7.2,Paris,open-meteo
2023-04-12,7.8,12.8,7.6,Paris,open-meteo
2023-04-13,5.0,11.8,5.1,Paris,open-meteo
2023-04-14,4.1,9.0,6.3,Paris,open-meteo
2023-04-15,5.9,12.6,11.5,Paris,open-meteo
2023-04-16,2.7,14.7,0.0,Paris,open-meteo
2023-04-17,3.4,12.4,2.2,Paris,open-meteo
2023-04-18,6.0,15.2,0.6,Paris,open-meteo
2023-04-19,7.1,18.1,0.0,Paris,open-meteo
2023-04-20,3.8,12.1,0.2,Paris,open-meteo
2023-04-21,1.2,13.1,0.5,Paris,open-meteo
2023-04-22,5.5,17.1,7.1,Paris,open-meteo
2023-04-23,8.7,14.5,6.2,Paris,open-meteo
2023-04-24,6.8,14.1,5.2,Paris,open-meteo
2023-04-25,5.2,11.5,0.7,Paris,open-meteo
2023-04-26,4.7,11.8,1.3,Paris,open-meteo
2023-04-27,6.9,18.3,1.9,Paris,open-meteo
2023-04-28,11.4,20.9,5.1,Paris,open-meteo
2023-04-29,8.3,15.7,0.2,Paris,open-meteo
2023-04-30,7.6,17.1,0.0,Paris,open-meteo
2023-05-01,9.2,15.8,3.7,Paris,open-meteo
2023-05-02,7.2,17.1,0.4,Paris,open-meteo
2023-05-03,6.4,19.6,0.0,Paris,open-meteo
2023-05-04,10.9,22.3,1.2,Paris,open-meteo
2023-05-05,12.5,18.4,4.2,Paris,open-meteo
2023-05-06,11.4,20.0,10.0,Paris,open-meteo
2023-05-07,11.6,18.4,12.5,Paris,open-meteo
2023-05-08,10.2,18.8,0.0,Paris,open-meteo
2023-05-09,11.8,16.8,17.0,Paris,open-meteo
2023-05-10,9.3,16.7,6.4,Paris,open-meteo
2023-05-11,8.8,16.3,6.1,Paris,open-meteo
2023-05-12,8.9,15.0,1.0,Paris,open-meteo
2023-05-13,10.8,20.2,12.2,Paris,open-meteo
2023-05-14,8.4,18.8,0.0,Paris,open-meteo
2023-05-15,8.0,15.9,4.8,Paris,open-meteo
2023-05-16,5.8,15.1,0.0,Paris,open-meteo
2023-05-17,6.3,16.0,0.1,Paris,open-meteo
2023-05-18,6.7,17.0,0.0,Paris,open-meteo
2023-05-19,7.4,19.1,0.0,Paris,open-meteo
2023-05-20,11.9,19.9,0.2,Paris,open-meteo
2023-05-21,12.4,21.1,0.0,Paris,open-meteo
2023-05-22,11.6,21.3,0.0,Paris,open-meteo
2023-05-23,10.0,18.8,0.1,Paris,open-meteo
2023-05-24,7.6,19.0,0.0,Paris,open-meteo
2023-05-25,10.2,20.1,0.0,Paris,open-meteo
2023-05-26,9.9,21.4,0.0,Paris,open-meteo
2023-05-27,11.4,23.6,0.0,Paris,open-meteo
2023-05-28,12.2,25.3,0.0,Paris,open-meteo
2023-05-29,13.2,23.3,0.0,Paris,open-meteo
2023-05-30,11.7,21.7,0.0,Paris,open-meteo
2023-05-31,11.8,25.4,0.0,Paris,open-meteo
2023-06-01,13.9,26.1,0.0,Paris,open-meteo
2023-06-02,9.7,20.1,0.0,Paris,open-meteo
2023-06-03,10.7,24.0,0.0,Paris,open-meteo
2023-06-04,13.3,25.2,0.0,Paris,open-meteo
2023-06-05,13.1,25.4,0.0,Paris,open-meteo
2023-06-06,12.4,25.5,0.0,Paris,open-meteo
2023-06-07,13.9,27.2,0.2,Paris,open-meteo
2023-06-08,14.4,27.2,0.0,Paris,open-meteo
2023-06-09,15.7,29.6,0.0,Paris,open-meteo
2023-06-10,17.8,27.5,0.5,Paris,open-meteo
2023-06-11,18.4,24.9,25.5,Paris,open-meteo
2023-06-12,16.6,26.2,1.0,Paris,open-meteo
2023-06-13,15.9,28.1,0.0,Paris,open-meteo
2023-06-14,13.6,28.1,0.0,Paris,open-meteo
2023-06-15,14.8,27.8,0.0,Paris,open-meteo
2023-06-16,14.3,29.2,0.0,Paris,open-meteo
2023-06-17,17.4,30.6,0.7,Paris,open-meteo
2023-06-18,18.5,29.9,2.7,Paris,open-meteo
2023-06-19,15.7,24.6,1.0,Paris,open-meteo
2023-06-20,17.8,26.8,1.7,Paris,open-meteo
2023-06-21,16.1,27.4,4.0,Paris,open-meteo
2023-06-22,16.3,23.6,19.2,Paris,open-meteo
2023-06-23,13.7,26.7,0.2,Paris,open-meteo
2023-06-24,15.0,27.7,0.0,Paris,open-meteo
2023-06-25,16.8,31.3,0.0,Paris,open-meteo
2023-06-26,15.6,23.2,0.0,Paris,open-meteo
2023-06-27,13.6,24.8,0.0,Paris,open-meteo
2023-06-28,15.3,25.4,0.8,Paris,open-meteo
2023-06-29,18.4,25.2,0.8,Paris,open-meteo
2023-06-30,15.5,24.5,0.4,Paris,open-meteo
2023-07-01,16.9,23.1,2.6,Paris,open-meteo
2023-07-02,13.9,23.4,0.0,Paris,open-meteo
2023-07-03,15.0,24.6,0.8,Paris,open-meteo
2023-07-04,12.5,22.3,4.1,Paris,open-meteo
2023-07-05,11.8,21.8,0.7,Paris,open-meteo
2023-07-06,12.4,25.7,0.1,Paris,open-meteo
2023-07-07,14.4,30.3,0.0,Paris,open-meteo
2023-07-08,20.0,32.7,0.4,Paris,open-meteo
2023-07-09,19.9,27.6,7.9,Paris,open-meteo
2023-07-10,16.7,28.9,0.0,Paris,open-meteo
2023-07-11,17.4,31.5,0.1,Paris,open-meteo
2023-07-12,16.9,24.9,3.6,Paris,open-meteo
2023-07-13,16.1,24.1,0.2,Paris,open-meteo
2023-07-14,14.9,30.5,0.4,Paris,open-meteo
2023-07-15,18.4,25.1,1.5,Paris,open-meteo
2023-07-16,15.5,24.9,0.0,Paris,open-meteo
2023-07-17,13.9,24.8,0.0,Paris,open-meteo
2023-07-18,13.9,28.6,0.0,Paris,open-meteo
2023-07-19,16.5,24.3,0.0,Paris,open-meteo
2023-07-20,13.7,25.6,0.0,Paris,open-meteo
2023-07-21,15.0,24.3,2.0,Paris,open-meteo
2023-07-22,13.0,25.5,0.0,Paris,open-meteo
2023-07-23,17.0,23.9,6.8,Paris,open-meteo
2023-07-24,16.5,23.2,19.4,Paris,open-meteo
2023-07-25,13.4,20.1,10.3,Paris,open-meteo
2023-07-26,12.0,23.1,0.2,Paris,open-meteo
2023-07-27,17.5,22.7,17.1,Paris,open-meteo
2023-07-28,17.8,24.0,7.9,Paris,open-meteo
2023-07-29,16.8,23.0,5.9,Paris,open-meteo
2023-07-30,14.4,22.5,0.1,Paris,open-meteo
2023-07-31,16.7,22.4,8.7,Paris,open-meteo
2023-08-01,15.6,21.6,1.7,Paris,open-meteo
2023-08-02,16.8,23.0,23.4,Paris,open-meteo
2023-08-03,15.3,18.6,5.5,Paris,open-meteo
2023-08-04,13.8,20.9,3.4,Paris,open-meteo
2023-08-05,12.6,19.1,7.3,Paris,open-meteo
2023-08-06,13.2,19.1,0.7,Paris,open-meteo
2023-08-07,12.1,21.3,0.3,Paris,open-meteo
2023-08-08,14.2,22.8,0.6,Paris,open-meteo
2023-08-09,16.2,23.0,0.0,Paris,open-meteo
2023-08-10,13.8,25.8,0.0,Paris,open-meteo
2023-08-11,17.2,27.2,3.3,Paris,open-meteo
2023-08-12,17.9,25.4,4.5,Paris,open-meteo
2023-08-13,15.9,23.0,0.0,Paris,open-meteo
2023-08-14,15.5,26.7,2.1,Paris,open-meteo
2023-08-15,16.4,23.8,0.7,Paris,open-meteo
2023-08-16,15.8,25.8,0.1,Paris,open-meteo
2023-08-17,16.9,27.4,0.8,Paris,open-meteo
2023-08-18,17.7,31.0,0.3,Paris,open-meteo
2023-08-19,18.7,26.7,7.0,Paris,open-meteo
2023-08-20,17.1,29.3,0.4,Paris,open-meteo
2023-08-21,16.4,27.2,0.0,Paris,open-meteo
2023-08-22,16.2,29.2,0.0,Paris,open-meteo
2023-08-23,17.5,30.6,0.0,Paris,open-meteo
2023-08-24,19.7,26.1,18.1,Paris,open-meteo
2023-08-25,15.3,22.3,23.2,Paris,open-meteo
2023-08-26,14.0,21.3,0.9,Paris,open-meteo
2023-08-27,12.4,21.0,1.0,Paris,open-meteo
2023-08-28,13.3,20.6,1.7,Paris,open-meteo
2023-08-29,11.2,20.5,1.0,Paris,open-meteo
2023-08-30,12.9,19.9,2.6,Paris,open-meteo
2023-08-31,12.5,18.9,16.2,Paris,open-meteo
2023-09-01,16.6,23.3,3.2,Paris,open-meteo
2023-09-02,15.4,27.7,1.6,Paris,open-meteo
2023-09-03,17.3,29.6,0.0,Paris,open-meteo
2023-09-04,16.9,29.1,0.0,Paris,open-meteo
2023-09-05,17.7,32.0,0.0,Paris,open-meteo
2023-09-06,17.2,31.9,0.0,Paris,open-meteo
2023-09-07,14.8,30.7,0.0,Paris,open-meteo
2023-09-08,18.7,33.9,0.0,Paris,open-meteo
2023-09-09,19.1,33.9,0.0,Paris,open-meteo
2023-09-10,20.0,33.7,0.0,Paris,open-meteo
2023-09-11,18.9,26.7,1.0,Paris,open-meteo
2023-09-12,16.8,20.1,20.7,Paris,open-meteo
2023-09-13,16.3,21.6,1.2,Paris,open-meteo
2023-09-14,13.5,23.4,0.1,Paris,open-meteo
2023-09-15,12.7,26.1,0.0,Paris,open-meteo
2023-09-16,13.2,24.3,0.0,Paris,open-meteo
2023-09-17,17.0,24.4,8.3,Paris,open-meteo
2023-09-18,15.6,23.3,8.0,Paris,open-meteo
2023-09-19,13.0,21.2,0.0,Paris,open-meteo
2023-09-20,16.3,23.7,0.0,Paris,open-meteo
2023-09-21,13.5,20.2,18.1,Paris,open-meteo
2023-09-22,11.2,16.6,8.3,Paris,open-meteo
2023-09-23,9.6,17.2,0.2,Paris,open-meteo
2023-09-24,7.9,19.9,0.0,Paris,open-meteo
