date_id,ville_id,source_id,temperature_2m_min,temperature_2m_max,temp_mean,precipitation_sum,id
1,1,1,11.9,15.4,13.65,2.2,1
2,1,1,6.4,13.7,10.05,7.2,2
3,1,1,5.7,9.8,7.75,2.3,3
4,1,1,9.8,13.1,11.45,2.1,4
5,1,1,11.2,13.7,12.45,0.4,5
6,1,1,9.5,12.9,11.2,0.0,6
7,1,1,6.2,11.1,8.65,1.4,7
8,1,1,6.7,10.5,8.6,4.2,8
9,1,1,5.3,8.2,6.75,0.8,9
10,1,1,4.0,12.1,8.05,3.1,10
11,1,1,8.9,12.4,10.65,9.0,11
12,1,1,9.6,12.0,10.8,0.6,12
13,1,1,7.1,11.0,9.05,2.1,13
14,1,1,8.4,12.6,10.5,10.1,14
15,1,1,5.0,8.8,6.9,1.7,15
16,1,1,1.3,6.5,3.9,9.2,16
17,1,1,-0.5,3.2,1.35,3.7,17
18,1,1,-1.8,5.0,1.6,0.1,18
19,1,1,-1.1,3.4,1.15,4.1,19
20,1,1,-1.6,6.0,2.2,0.2,20
21,1,1,-1.5,3.7,1.1,0.1,21
22,1,1,-0.9,3.2,1.1500000000000001,0.0,22
23,1,1,-0.4,3.6,1.6,0.0,23
24,1,1,-1.2,3.5,1.15,0.0,24
25,1,1,0.7,2.5,1.6,0.0,25
26,1,1,0.2,4.6,2.4,0.6,26
27,1,1,3.5,4.6,4.05,0.3,27
28,1,1,-3.4,3.6,0.10000000000000009,0.0,28
29,1,1,-1.4,4.8,1.7,0.0,29
30,1,1,1.4,8.9,5.15,0.0,30
31,1,1,0.5,8.1,4.3,0.0,31
32,1,1,5.7,9.7,7.699999999999999,0.0,32
33,1,1,4.6,10.5,7.55,0.0,33
34,1,1,6.7,10.1,8.4,0.0,34
35,1,1,6.6,10.8,8.7,0.5,35
36,1,1,2.7,9.3,6.0,0.1,36
37,1,1,0.4,6.9,3.6500000000000004,0.0,37
38,1,1,-1.9,6.2,2.1500000000000004,0.0,38
39,1,1,-3.7,5.9,1.1,0.0,39
40,1,1,-5.1,6.8,0.8500000000000001,0.0,40
41,1,1,2.2,9.5,5.85,0.0,41
42,1,1,-0.6,8.7,4.05,0.0,42
43,1,1,2.9,9.2,6.05,0.0,43
44,1,1,-0.9,11.8,5.45,0.0,44
45,1,1,-0.2,11.9,5.8500000000000005,0.0,45
46,1,1,-0.8,12.8,6.0,0.0,46
47,1,1,3.8,11.5,7.65,1.3,47
48,1,1,10.6,14.7,12.649999999999999,0.3,48
49,1,1,9.2,12.4,10.8,0.1,49
50,1,1,3.6,11.9,7.75,0.0,50
51,1,1,2.5,12.0,7.25,0.0,51
52,1,1,0.7,13.9,7.3,0.0,52
53,1,1,7.2,10.5,8.85,5.6,53
54,1,1,5.4,10.0,7.7,0.0,54
55,1,1,4.6,10.4,7.5,0.0,55
56,1,1,1.5,7.8,4.65,0.0,56
57,1,1,-1.0,5.1,2.05,0.0,57
58,1,1,-1.5,6.4,2.45,0.0,58
59,1,1,-2.4,5.1,1.3499999999999999,0.0,59
60,1,1,-2.4,7.2,2.4000000000000004,0.0,60
61,1,1,-2.2,9.3,3.5500000000000003,0.0,61
62,1,1,-0.3,9.1,4.3999999999999995,0.0,62
63,1,1,-1.2,6.7,2.75,0.0,63
64,1,1,2.9,7.2,5.05,0.4,64
65,1,1,1.8,7.6,4.7,0.5,65
66,1,1,3.2,8.8,6.0,1.6,66
67,1,1,5.4,14.0,9.7,19.6,67
68,1,1,8.8,14.6,11.7,3.5,68
69,1,1,4.3,10.8,7.550000000000001,1.7,69
70,1,1,1.2,7.2,4.2,3.7,70
71,1,1,7.8,14.1,10.95,5.2,71
72,1,1,10.3,15.7,13.0,1.0,72
73,1,1,2.7,10.3,6.5,5.3,73
74,1,1,2.2,10.8,6.5,0.4,74
75,1,1,4.9,15.8,10.350000000000001,0.0,75
76,1,1,8.0,15.8,11.9,7.7,76
77,1,1,8.7,15.1,11.899999999999999,5.1,77
78,1,1,2.9,11.1,7.0,2.0,78
79,1,1,1.9,13.2,7.55,0.0,79
80,1,1,8.2,14.7,11.45,1.2,80
81,1,1,8.1,13.9,11.0,8.9,81
82,1,1,11.1,15.8,13.45,0.8,82
83,1,1,9.1,14.9,12.0,1.5,83
84,1,1,8.4,13.6,11.0,0.5,84
85,1,1,5.7,11.4,8.55,6.7,85
86,1,1,3.6,9.6,6.6,0.1,86
87,1,1,3.1,11.1,7.1,0.6,87
