time,temperature_2m_min,temperature_2m_max,precipitation_sum,humidity,pressure,wind_speed,ville,source,latitude,longitude
2020-01-01,-4.7,1.0,0.4,78.04166666666667,1008.425,19.445833333333333,Moscou,open-meteo,55.75,37.61
2020-01-02,-0.6,1.5,3.3,88.625,1010.0041666666666,18.808333333333334,Moscou,open-meteo,55.75,37.61
2020-01-03,-1.6,2.7,0.0,89.75,1009.7416666666668,19.22083333333333,Moscou,open-meteo,55.75,37.61
2020-01-04,-2.6,1.1,1.3,86.29166666666667,1000.8583333333332,19.3875,Moscou,open-meteo,55.75,37.61
2020-01-05,-1.5,1.3,0.0,79.95833333333333,1011.7791666666668,14.441666666666668,Moscou,open-meteo,55.75,37.61
2020-01-06,-3.8,-0.7,0.0,76.33333333333333,1024.6166666666666,8.887500000000001,Moscou,open-meteo,55.75,37.61
2020-01-07,-2.8,-0.1,0.9,82.5,1024.3416666666667,13.433333333333332,Moscou,open-meteo,55.75,37.61
2020-01-08,-0.7,0.7,0.6,87.83333333333333,1020.2333333333332,17.4875,Moscou,open-meteo,55.75,37.61
2020-01-09,-0.6,2.8,2.4,88.20833333333333,1011.8083333333334,18.641666666666666,Moscou,open-meteo,55.75,37.61
2020-01-10,-0.5,1.0,0.0,87.625,1015.0875,12.533333333333331,Moscou,open-meteo,55.75,37.61
2020-01-11,-3.9,-0.3,4.2,93.16666666666669,1015.8125,9.208333333333334,Moscou,open-meteo,55.75,37.61
2020-01-12,-3.2,1.0,0.7,87.125,1012.9625,21.46666666666667,Moscou,open-meteo,55.75,37.61
2020-01-13,-1.8,1.9,0.7,91.04166666666669,1008.85,18.725,Moscou,open-meteo,55.75,37.61
2020-01-14,-1.7,0.6,0.0,92.20833333333331,1019.7125,13.025,Moscou,open-meteo,55.75,37.61
2020-01-15,-0.5,2.8,3.5,88.20833333333333,1020.2375,26.433333333333334,Moscou,open-meteo,55.75,37.61
2020-01-16,1.9,3.9,0.2,88.08333333333333,1017.3708333333334,23.508333333333336,Moscou,open-meteo,55.75,37.61
2020-01-17,0.8,3.8,0.0,90.08333333333331,1024.4916666666666,14.004166666666668,Moscou,open-meteo,55.75,37.61
2020-01-18,-2.2,1.6,0.0,91.70833333333331,1025.2,14.8,Moscou,open-meteo,55.75,37.61
2020-01-19,-1.1,0.7,0.0,84.08333333333333,1026.0541666666666,16.091666666666665,Moscou,open-meteo,55.75,37.61
2020-01-20,0.3,2.4,0.4,85.95833333333333,1023.9458333333332,21.0,Moscou,open-meteo,55.75,37.61
2020-01-21,0.7,3.6,4.4,86.25,1006.1083333333332,26.59583333333333,Moscou,open-meteo,55.75,37.61
2020-01-22,-2.6,1.3,0.6,73.83333333333333,997.4458333333332,22.191666666666663,Moscou,open-meteo,55.75,37.61
2020-01-23,-5.4,-2.1,0.9,65.70833333333333,1007.3208333333332,22.10833333333333,Moscou,open-meteo,55.75,37.61
2020-01-24,-4.9,1.1,5.4,86.08333333333333,1002.9,19.35833333333333,Moscou,open-meteo,55.75,37.61
2020-01-25,-1.7,2.2,1.8,84.95833333333333,997.8125,24.104166666666668,Moscou,open-meteo,55.75,37.61
2020-01-26,-1.9,2.6,1.7,74.66666666666667,1007.8041666666668,24.27916666666667,Moscou,open-meteo,55.75,37.61
2020-01-27,-5.6,2.5,1.2,75.70833333333333,1013.3708333333334,15.608333333333334,Moscou,open-meteo,55.75,37.61
2020-01-28,-5.8,-0.6,5.8,84.75,1012.2958333333332,15.920833333333334,Moscou,open-meteo,55.75,37.61
2020-01-29,-1.1,1.5,0.5,95.29166666666669,1008.1416666666668,10.691666666666668,Moscou,open-meteo,55.75,37.61
2020-01-30,-1.2,-0.1,3.7,94.04166666666669,1000.475,15.179166666666667,Moscou,open-meteo,55.75,37.61
2020-01-31,-3.9,0.6,0.3,92.75,1000.2416666666668,6.229166666666667,Moscou,open-meteo,55.75,37.61
2020-02-01,-2.8,-0.1,0.3,95.33333333333331,1004.1,7.291666666666667,Moscou,open-meteo,55.75,37.61
2020-02-02,-1.7,2.8,7.9,94.5,991.3208333333332,19.77083333333333,Moscou,open-meteo,55.75,37.61
2020-02-03,-1.5,2.7,2.2,90.25,984.7916666666666,17.983333333333334,Moscou,open-meteo,55.75,37.61
2020-02-04,-4.0,-1.9,0.7,76.45833333333333,991.6916666666666,23.058333333333334,Moscou,open-meteo,55.75,37.61
2020-02-05,-10.3,-4.0,0.3,75.41666666666667,1007.2166666666668,18.1375,Moscou,open-meteo,55.75,37.61
2020-02-06,-9.6,-1.1,2.4,76.125,1001.0125,23.383333333333336,Moscou,open-meteo,55.75,37.61
2020-02-07,-12.4,-7.9,0.3,75.375,1011.0625,22.741666666666664,Moscou,open-meteo,55.75,37.61
2020-02-08,-11.8,-7.4,0.0,76.91666666666667,1022.0875,9.333333333333334,Moscou,open-meteo,55.75,37.61
2020-02-09,-8.7,-1.2,0.0,83.125,1020.0166666666668,17.845833333333335,Moscou,open-meteo,55.75,37.61
2020-02-10,-2.5,1.8,0.6,77.125,1003.15,28.875,Moscou,open-meteo,55.75,37.61
2020-02-11,-1.4,0.9,3.9,89.41666666666667,992.9625,23.741666666666664,Moscou,open-meteo,55.75,37.61
2020-02-12,-2.8,1.0,0.7,91.16666666666669,999.7333333333332,18.14583333333333,Moscou,open-meteo,55.75,37.61
2020-02-13,-3.7,-1.3,0.1,87.25,1007.2708333333334,9.2875,Moscou,open-meteo,55.75,37.61
2020-02-14,-7.6,1.9,0.5,87.54166666666667,1016.3916666666668,10.416666666666666,Moscou,open-meteo,55.75,37.61
2020-02-15,-8.6,1.9,0.0,83.75,1026.1333333333334,9.116666666666664,Moscou,open-meteo,55.75,37.61
2020-02-16,-2.5,1.4,0.1,87.25,1023.3416666666668,21.75,Moscou,open-meteo,55.75,37.61
